cylinder,seek_distance,deadline,priority,size,type,importance_score
158,47,386,1,751,0,0.357523
60,98,243,1,679,1,0.490705
120,60,364,1,201,0,0.328946
6,114,51,2,333,1,0.744711
69,63,160,2,352,1,0.618949
87,18,7,0,947,0,0.408291
196,109,206,2,790,0,0.686193
42,154,23,1,295,0,0.74138
55,13,396,0,369,1,0.116504
81,26,269,1,539,1,0.354323
198,117,377,0,332,0,0.32869
170,28,295,1,608,0,0.340114
6,164,23,1,836,1,0.768791
46,40,179,2,849,0,0.593277
164,118,11,2,32,1,0.788956
11,153,44,2,838,1,0.878999
171,160,470,2,496,1,0.628768
56,115,467,1,381,1,0.364713
183,127,64,1,12,1,0.628153
58,125,205,2,43,1,0.644328
86,28,148,0,364,1,0.29057
132,46,217,1,769,0,0.450527
25,107,306,0,1022,0,0.442899
111,86,193,0,828,0,0.397032
101,10,407,2,883,0,0.373543
156,55,34,1,697,0,0.560772
199,43,293,1,248,1,0.358683
132,67,356,0,357,1,0.24055
81,51,279,0,50,0,0.229758
81,0,334,1,887,0,0.309688
83,2,311,2,448,1,0.427899
162,79,86,1,1024,0,0.636217
64,98,395,1,415,0,0.431627
33,31,137,2,371,1,0.547892
66,33,93,0,749,0,0.34041
4,62,275,0,714,1,0.283816
21,17,319,1,314,1,0.271415
18,3,191,1,706,1,0.374774
154,136,34,2,844,0,0.834725
144,10,498,1,251,0,0.165069
139,5,407,1,266,1,0.248012
92,47,250,0,378,0,0.284081
143,51,177,2,721,0,0.580985
32,111,441,2,847,1,0.554807
180,148,180,1,663,1,0.582449
100,80,106,2,713,1,0.693724
187,87,129,2,874,0,0.701963
30,157,280,1,905,0,0.641083
99,69,374,0,353,0,0.252556
139,40,164,0,1006,0,0.355173
99,40,100,1,731,1,0.508993
89,10,467,2,430,0,0.324987
33,56,52,1,335,1,0.552112
76,43,277,2,732,0,0.524713
47,29,92,0,305,1,0.331603
60,13,328,1,923,0,0.374543
136,76,190,1,113,0,0.466147
126,10,42,2,898,1,0.6237
121,5,87,1,490,0,0.416982
72,49,246,2,516,0,0.537683
191,119,76,0,528,1,0.5222
17,174,291,2,384,0,0.706883
68,51,401,1,432,0,0.329013
23,45,148,2,936,0,0.627387
67,44,468,1,660,0,0.30854
192,125,369,2,955,0,0.631439
73,119,47,2,141,1,0.765548
181,108,235,2,925,1,0.69726
99,82,279,2,780,1,0.637223
139,40,282,2,626,0,0.531299
91,48,232,2,778,0,0.586908
53,38,183,1,466,0,0.389386
152,99,286,0,731,0,0.335831
193,41,339,1,759,1,0.335183
52,141,424,1,395,0,0.461936
155,103,56,2,536,0,0.764163
52,103,73,0,29,1,0.42685
143,91,255,2,394,1,0.615934
157,14,214,1,228,0,0.346578
89,68,448,2,512,1,0.441319
147,58,288,2,537,0,0.575926
54,93,121,1,605,0,0.568401
15,39,425,2,205,0,0.399557
19,4,434,1,355,1,0.202267
89,70,25,2,335,0,0.71281
180,91,443,1,46,0,0.291504
25,155,185,0,581,0,0.515152
91,66,119,0,781,0,0.441349
140,49,62,1,559,1,0.516322
40,100,44,0,560,0,0.468423
144,104,34,1,949,1,0.685142
61,83,383,0,55,1,0.194404
161,100,452,1,526,0,0.370424
115,46,479,0,526,0,0.104292
109,6,257,2,922,0,0.470027
35,74,131,1,372,0,0.50662
92,57,444,2,281,1,0.408115
171,79,456,2,497,1,0.468312
3,168,203,1,790,1,0.68613
151,148,108,1,510,1,0.667159
98,53,420,1,390,1,0.305614
143,45,182,1,1018,1,0.509707
132,11,270,1,634,0,0.339313
86,46,443,1,356,1,0.269889
61,25,87,1,161,1,0.444619
125,64,155,0,44,0,0.309379
28,97,109,0,736,0,0.468548
116,88,379,1,612,1,0.407904
18,98,63,2,9,1,0.691122
129,111,77,1,309,1,0.607861
125,4,168,2,283,0,0.488591
16,109,192,0,770,1,0.428236
151,135,373,0,961,0,0.44418
83,68,470,0,866,0,0.194445
157,74,299,1,151,1,0.398402
8,149,117,0,452,1,0.555515
35,27,332,1,934,0,0.380197
98,63,352,1,759,1,0.397435
37,61,46,0,535,0,0.422575
65,28,460,2,915,1,0.409135
132,67,258,0,86,1,0.283279
28,104,393,2,1008,0,0.607144
135,107,30,0,912,1,0.547045
20,115,474,0,678,0,0.289141
35,15,486,1,965,0,0.257544
117,82,472,0,936,1,0.231823
158,41,266,1,690,1,0.456809
34,124,61,0,203,0,0.511656
59,25,228,0,299,0,0.224255
185,126,302,0,284,1,0.415565
197,12,226,2,317,0,0.438676
116,81,216,1,214,0,0.460311
89,27,178,2,453,1,0.541933
69,20,342,0,693,0,0.204964
122,53,288,2,492,0,0.516751
118,4,372,1,741,1,0.284046
58,60,44,2,886,0,0.73346
4,54,126,1,953,1,0.513507
30,26,440,0,953,0,0.18975
191,161,400,2,704,1,0.635572
83,108,338,1,305,1,0.460518
96,13,207,2,70,0,0.455984
93,3,216,2,40,0,0.450211
156,63,330,2,856,0,0.550231
12,144,386,1,514,0,0.509864
16,4,216,1,225,0,0.34195
55,39,449,1,335,1,0.257863
97,42,176,2,649,1,0.607212
134,37,163,0,628,0,0.31549
98,36,348,0,956,1,0.202078
88,10,396,2,96,1,0.33488
187,99,273,2,703,1,0.634228
32,155,476,1,989,1,0.523298
114,82,427,0,445,0,0.223224
108,6,107,0,512,0,0.307408
94,14,394,1,411,0,0.259684
161,67,406,2,176,0,0.453459
53,108,434,1,35,1,0.329401
190,137,265,1,622,0,0.577788
66,124,384,2,782,0,0.592013
109,43,363,1,945,0,0.374103
104,5,458,2,36,1,0.290124
169,65,151,1,748,1,0.518643
87,82,82,2,935,1,0.743794
56,31,384,2,911,1,0.446045
4,52,322,2,487,1,0.51476
72,68,488,1,25,1,0.241322
165,93,45,0,14,0,0.456988
1,164,22,1,209,1,0.737683
179,178,252,2,564,1,0.792649
108,71,305,2,842,0,0.560814
28,80,431,1,383,1,0.356899
60,32,335,0,111,0,0.165578
110,50,364,1,586,0,0.34077
63,47,197,0,317,1,0.305871
21,42,293,0,36,0,0.174552
133,112,74,2,491,0,0.732114
134,1,348,2,666,1,0.366385
23,111,74,0,88,1,0.494737
56,33,90,1,502,0,0.458308
48,8,87,1,544,1,0.426082
131,83,465,2,698,1,0.50206
146,15,91,1,506,1,0.436145
145,1,110,2,116,0,0.469563
187,42,497,2,372,0,0.346278
153,34,87,2,1005,1,0.68801
64,89,274,1,931,0,0.505301
21,43,74,1,402,1,0.498183
122,101,226,1,687,1,0.538367
183,61,468,2,695,1,0.433503
195,12,167,0,690,0,0.287624
46,149,233,1,82,0,0.566258
47,1,438,0,296,1,0.036807
7,40,268,0,543,0,0.257521
28,21,474,0,430,0,0.071
110,82,192,0,51,1,0.356289
109,1,119,2,578,0,0.539275
74,35,18,0,517,0,0.367344
61,13,200,2,486,1,0.488291
165,104,37,0,613,0,0.521821
92,73,290,1,982,1,0.458788
161,69,12,2,899,1,0.755167
192,31,55,2,944,0,0.71337
63,129,271,0,670,0,0.435455
40,23,305,1,48,0,0.266592
190,150,100,2,390,0,0.770932
126,64,372,2,617,1,0.514099
58,68,204,0,846,0,0.375911
124,66,97,1,178,1,0.477455
103,21,232,2,461,1,0.486457
181,78,461,0,733,0,0.262213
51,130,268,1,530,0,0.578262
198,147,428,0,801,0,0.369178
187,11,446,0,299,1,0.065323
36,151,117,1,15,1,0.62563
32,4,26,0,541,1,0.331972
106,74,337,1,836,0,0.431252
8,98,249,0,722,0,0.407177
59,51,183,1,842,1,0.476734
87,28,70,0,403,1,0.314526
193,106,78,1,728,1,0.633359
198,5,463,2,93,1,0.30844
30,168,75,2,125,0,0.80901
178,148,459,0,883,1,0.412227
18,160,136,1,879,1,0.709384
149,131,74,1,767,1,0.714629
169,20,262,1,836,0,0.388655
178,9,63,2,221,1,0.539382
44,134,139,1,225,1,0.619721
178,134,59,1,466,0,0.598831
23,155,14,1,451,1,0.760992
103,80,53,2,741,0,0.73
93,10,484,2,912,1,0.371765
63,30,83,0,656,1,0.384388
4,59,114,2,282,1,0.588221
154,150,82,2,526,0,0.828891
67,87,42,1,452,0,0.6175
132,65,85,1,21,0,0.469212
82,50,55,2,800,0,0.650182
74,8,78,0,968,1,0.393319
177,103,231,1,190,0,0.489331
18,159,192,2,717,1,0.770554
147,129,94,0,168,0,0.515029
149,2,130,1,825,1,0.423492
75,74,235,1,994,0,0.51491
52,23,211,0,1014,0,0.314968
1,51,64,0,420,1,0.400136
187,186,447,2,306,0,0.667549
189,2,197,1,725,1,0.387717
48,141,179,2,32,1,0.724899
6,42,289,2,578,0,0.501762
24,18,146,1,68,1,0.365501
13,11,313,1,638,1,0.348287
166,153,457,2,633,0,0.604089
178,12,423,0,985,0,0.165749
30,148,164,2,530,1,0.762474
149,119,51,1,323,0,0.6325
35,114,65,2,282,0,0.757441
73,38,109,1,1020,1,0.516105
119,46,311,0,43,0,0.242121
143,24,249,1,431,1,0.363183
174,31,144,1,922,0,0.514075
8,166,101,1,862,1,0.733219
39,31,262,1,878,0,0.412484
56,17,480,1,876,0,0.23457
62,6,385,2,331,0,0.362936
199,137,131,0,494,0,0.496959
155,44,284,1,615,1,0.383223
64,91,256,0,111,0,0.28627
194,130,405,1,33,1,0.440106
99,95,175,0,654,0,0.444347
100,1,175,2,212,1,0.467587
86,14,226,2,984,0,0.550065
28,58,88,2,839,1,0.647226
186,158,435,1,416,1,0.489152
2,184,200,0,344,1,0.523885
34,32,431,0,414,0,0.176339
45,11,208,1,810,0,0.418893
55,10,339,0,110,1,0.101153
26,29,359,0,820,0,0.195417
3,23,396,2,4,0,0.310088
135,132,344,1,101,0,0.426695
193,58,346,0,65,0,0.172966
24,169,158,2,371,0,0.74668
59,35,36,1,452,1,0.532513
101,42,465,1,326,1,0.26374
185,84,423,2,1017,1,0.540969
138,47,141,0,328,0,0.327997
153,15,15,1,594,0,0.534803
116,37,498,2,631,0,0.362608
83,33,45,0,291,1,0.347951
39,44,21,2,325,0,0.670484
172,133,494,0,296,1,0.272407
160,12,338,2,408,0,0.428403
5,155,303,1,542,0,0.536912
143,138,312,2,854,1,0.672871
16,127,372,0,390,1,0.347616
147,131,294,0,785,0,0.421492
165,18,374,1,683,1,0.28833
26,139,390,1,647,1,0.526678
86,60,109,0,104,1,0.360506
24,62,297,1,394,0,0.387183
113,89,169,1,796,0,0.54338
185,72,306,2,51,0,0.481885
16,169,89,1,502,1,0.725857
79,63,439,2,109,0,0.416953
194,115,136,0,480,1,0.464014
60,134,97,0,878,0,0.573814
26,34,65,2,177,0,0.618315
97,71,267,2,382,1,0.56886
101,4,181,2,367,0,0.465344
132,31,357,1,913,1,0.37894
62,70,211,2,864,1,0.594667
191,129,157,1,677,0,0.588323
104,87,160,0,933,1,0.456481
57,47,113,2,259,1,0.574941
192,135,350,1,56,0,0.467957
184,8,68,0,991,1,0.367497
99,85,456,0,151,1,0.20116
4,95,135,0,751,0,0.472393
119,115,9,2,324,0,0.721278
111,8,334,1,926,0,0.318265
29,82,357,0,904,1,0.334137
126,97,309,1,940,0,0.497553
168,42,183,1,910,0,0.49486
21,147,90,2,573,1,0.804956
144,123,437,2,382,0,0.504589
28,116,248,1,864,1,0.572676
149,121,240,0,193,1,0.380092
83,66,110,1,387,1,0.479654
1,82,392,2,504,1,0.524827
193,192,468,2,847,1,0.699817
33,160,324,1,604,0,0.55013
119,86,363,0,849,0,0.282446
36,83,356,2,13,0,0.507597
186,150,90,1,368,1,0.688563
147,39,234,0,575,0,0.279599
160,13,148,2,990,1,0.568171
86,74,204,1,527,1,0.478003
93,7,427,2,468,0,0.347888
126,33,416,0,314,1,0.168474
156,30,280,0,462,1,0.250992
169,13,62,2,559,1,0.580741
3,166,181,0,647,0,0.503112
132,129,363,1,530,1,0.52003
21,111,301,0,989,1,0.381908
57,36,281,0,49,0,0.161365
165,108,197,2,900,1,0.714571
50,115,484,0,455,0,0.269301
159,109,456,1,892,0,0.440018
92,67,323,1,547,1,0.379422
46,46,437,2,787,1,0.460651
66,20,93,2,624,1,0.60845
106,40,84,2,631,1,0.618956
153,47,358,1,848,0,0.343029
121,32,340,2,528,1,0.442767
186,65,125,0,215,0,0.362474
173,13,419,2,764,1,0.395004
150,23,374,1,10,0,0.199645
120,30,109,0,221,1,0.260995
57,63,306,0,37,1,0.214498
82,25,436,0,102,1,0.090971
23,59,385,2,822,1,0.529191
74,51,212,1,71,1,0.356446
185,111,410,0,173,1,0.232068
85,100,157,0,148,0,0.398243
22,63,487,0,82,1,0.14411
130,108,492,1,803,0,0.403098
192,62,154,0,304,0,0.321677
173,19,345,0,178,0,0.150377
54,119,481,2,547,1,0.516117
90,36,148,2,76,0,0.564255
106,16,359,2,294,1,0.418917
49,57,267,1,815,1,0.42379
53,4,224,1,8,0,0.344232
47,6,323,1,347,1,0.263983
198,151,241,0,280,1,0.419005
149,49,357,1,396,0,0.327859
168,19,480,0,217,0,0.033448
163,5,108,2,590,0,0.565919
191,28,92,0,790,1,0.361312
21,170,310,2,761,0,0.759896
176,155,480,0,797,0,0.35039
13,163,424,2,549,0,0.616582
95,82,205,2,6,1,0.540789
118,23,402,0,4,1,0.119762
71,47,456,0,824,0,0.181991
29,42,150,1,208,1,0.438017
38,9,56,1,101,1,0.413322
164,126,485,1,713,0,0.426533
63,101,83,0,289,0,0.446886
62,1,11,1,366,0,0.457541
184,122,162,2,759,1,0.750774
28,156,390,2,220,0,0.618077
183,155,374,2,859,1,0.705629
184,1,161,1,999,0,0.39748
119,65,344,1,261,0,0.382352
33,86,470,1,148,1,0.284506
31,2,8,1,646,0,0.49
56,25,431,0,995,1,0.181165
115,59,302,2,555,1,0.557493
30,85,441,2,415,1,0.478673
91,61,29,1,252,0,0.52195
23,68,129,2,35,0,0.647325
108,85,194,0,262,0,0.334482
4,104,399,1,391,1,0.431969
141,137,340,2,605,1,0.65831
11,130,169,2,941,0,0.765608
38,27,124,1,15,1,0.40563
34,4,226,2,887,0,0.509507
166,132,87,1,820,1,0.692652
10,156,452,0,122,0,0.302149
85,75,416,2,423,1,0.507337
118,33,361,2,832,0,0.50662
103,15,242,1,67,1,0.298491
136,33,322,0,222,0,0.205519
160,24,130,0,195,1,0.252961
78,82,68,0,334,0,0.444115
165,87,120,1,711,0,0.56946
63,102,271,2,679,0,0.645075
196,133,479,1,821,0,0.457995
100,96,66,0,916,0,0.529545
147,47,155,2,457,0,0.561202
175,28,42,1,889,0,0.54931
158,17,223,2,58,1,0.456243
170,12,473,2,485,0,0.383551
107,63,30,2,470,1,0.677219
8,99,298,2,1009,1,0.628069
98,90,81,2,982,0,0.768807
36,62,8,2,518,1,0.71477
177,141,271,1,80,1,0.494531
47,130,237,2,436,1,0.692644
45,2,450,2,679,0,0.332695
49,4,146,1,778,1,0.439665
128,79,319,0,730,0,0.297114
114,14,81,2,776,0,0.632918
189,75,291,2,967,0,0.607202
83,106,410,0,941,1,0.30197
56,27,195,0,1005,1,0.314364
9,47,81,0,978,0,0.425766
1,8,255,2,334,0,0.431053
74,73,87,0,849,0,0.460274
185,111,324,1,509,0,0.488799
104,81,120,2,335,0,0.639719
178,74,331,0,541,1,0.297887
20,158,357,0,315,0,0.412327
18,2,499,2,376,1,0.31344
166,148,99,0,674,0,0.544152
21,145,466,2,720,0,0.602958
10,11,164,1,911,0,0.4237
80,70,81,1,829,0,0.572112
184,104,451,1,697,1,0.410658
137,47,287,0,769,0,0.290867
19,118,284,0,94,0,0.315483
167,148,154,1,947,1,0.678696
168,1,90,0,630,0,0.299701
160,8,35,0,963,1,0.390232
180,20,430,0,397,0,0.129609
47,133,15,2,291,1,0.812403
195,148,258,0,887,0,0.48752
64,131,137,0,220,1,0.449714
160,96,417,1,959,0,0.443386
115,45,352,0,259,0,0.199623
155,40,43,1,563,1,0.515908
125,30,68,2,827,1,0.600265
128,3,85,2,137,0,0.510995
123,5,358,2,559,1,0.362134
155,32,50,1,1009,1,0.525354
147,8,121,0,92,0,0.269033
26,121,243,1,857,1,0.561781
165,139,96,0,709,1,0.544216
107,58,196,0,307,0,0.302892
64,43,155,2,277,0,0.590982
102,38,210,0,880,1,0.331637
193,91,18,0,432,1,0.473553
171,22,186,0,996,1,0.334601
166,5,270,1,457,0,0.302297
92,74,214,2,771,0,0.667709
156,64,471,1,270,1,0.26275
77,79,193,1,420,0,0.507283
137,60,155,0,523,1,0.383384
127,10,84,2,753,1,0.588444
49,78,308,2,225,0,0.541881
53,4,286,1,36,0,0.268423
12,41,30,0,151,0,0.367084
27,15,435,1,419,1,0.224237
86,59,489,1,474,0,0.261617
95,9,497,2,985,1,0.363943
33,62,390,1,606,0,0.396543
83,50,63,0,977,1,0.466466
120,37,448,0,147,0,0.137016
46,74,208,2,593,0,0.616862
67,21,432,2,948,0,0.415536
73,6,124,1,634,1,0.385457
101,28,344,2,577,1,0.454625
73,28,285,2,765,0,0.512387
147,74,232,1,82,1,0.415659
65,82,183,2,714,0,0.636939
86,21,31,0,520,0,0.349669
75,11,439,0,802,1,0.134403
36,39,362,2,579,1,0.463534
137,101,467,0,982,1,0.282767
47,90,260,0,513,0,0.362638
59,12,165,2,777,1,0.553538
158,99,309,2,917,1,0.635436
189,31,181,2,498,1,0.611562
134,55,469,2,844,1,0.451895
183,49,269,0,471,1,0.285764
170,13,340,0,200,1,0.139877
96,74,319,2,875,0,0.57644
154,58,197,1,884,0,0.474463
65,89,377,1,123,1,0.371226
92,27,248,2,762,0,0.531962
107,15,54,2,822,1,0.607189
192,85,207,2,870,1,0.651463
169,23,30,1,380,0,0.489199
97,72,368,1,110,1,0.344356
130,33,340,0,767,0,0.228417
40,90,448,2,663,0,0.511382
160,120,241,0,560,1,0.463111
110,50,495,2,1002,1,0.461768
106,4,338,2,360,0,0.342078
153,47,196,1,767,1,0.477908
126,27,154,2,946,1,0.602947
14,112,474,1,616,0,0.422711
57,43,90,2,18,1,0.523782
35,22,13,1,708,1,0.517699
146,111,60,1,217,1,0.575386
7,139,346,2,114,0,0.606997
40,33,394,2,483,0,0.428009
119,79,257,1,771,1,0.498803
138,19,204,1,605,1,0.371795
100,38,95,0,58,0,0.30384
172,72,46,1,702,0,0.585182
183,11,373,2,49,1,0.334093
26,157,127,1,347,0,0.65424
190,164,492,1,281,1,0.445376
122,68,431,2,506,1,0.458875
127,5,386,1,613,1,0.242107
19,108,243,1,360,1,0.503945
124,105,182,0,488,0,0.459333
145,21,427,2,79,1,0.329855
116,29,28,1,160,1,0.506698
16,100,472,1,783,0,0.397264
104,88,412,2,979,1,0.53739
187,83,38,1,364,0,0.563986
144,43,113,2,671,1,0.627881
27,117,471,0,544,0,0.268052
191,164,333,0,988,1,0.480237
191,0,188,2,127,0,0.430319
33,158,417,0,237,1,0.331454
160,127,350,2,448,0,0.606951
81,79,462,0,715,0,0.198121
118,37,204,2,830,1,0.566791
89,29,296,2,770,1,0.536221
156,67,309,1,487,1,0.422359
199,43,26,0,945,1,0.460001
159,40,336,1,876,0,0.406411
186,27,360,1,131,0,0.247965
189,3,70,0,920,1,0.317695
18,171,406,1,439,1,0.533515
50,32,218,2,168,0,0.475134
144,94,216,2,338,0,0.615567
118,26,107,0,853,0,0.356447
10,108,426,2,61,1,0.488364
19,9,64,2,164,1,0.496508
104,85,489,2,273,1,0.418725
123,19,298,1,733,0,0.327313
33,90,121,0,596,0,0.452044
34,1,341,1,377,0,0.267715
25,9,359,1,778,0,0.301018
112,87,132,1,506,1,0.567818
1,111,438,1,939,1,0.456992
114,113,8,1,365,0,0.70459
95,19,67,1,705,0,0.484045
93,2,485,1,734,0,0.223237
135,42,381,2,686,1,0.468808
104,31,240,2,115,0,0.475266
145,41,161,1,880,1,0.499664
152,7,327,2,667,1,0.427535
184,32,346,0,665,1,0.259264
159,25,42,1,209,0,0.457543
103,56,219,0,434,0,0.336773
98,5,312,1,574,0,0.333135
47,51,296,0,510,0,0.236268
119,72,382,0,824,0,0.27368
27,92,456,1,1007,0,0.398523
186,159,28,2,53,0,0.816919
169,17,268,1,389,1,0.356923
23,146,264,2,581,0,0.693325
157,134,107,1,408,1,0.619804
23,134,75,1,780,1,0.6825
144,121,452,0,947,0,0.356667
17,127,77,0,465,1,0.548227
97,80,223,1,858,0,0.498015
131,34,309,1,335,1,0.331815
145,14,241,0,16,0,0.214134
83,62,311,1,891,1,0.423856
184,101,19,0,947,1,0.539356
154,30,279,0,97,1,0.202057
41,113,405,1,215,1,0.36219
134,93,257,1,47,1,0.417578
146,12,496,1,145,1,0.192458
66,80,237,1,645,0,0.432987
147,81,157,1,90,1,0.511859
179,32,243,0,877,0,0.296371
163,16,153,1,564,1,0.417021
152,11,170,1,921,1,0.412345
126,26,229,2,208,1,0.457549
54,72,132,1,600,1,0.495688
159,105,22,1,735,1,0.670307
72,87,136,2,590,1,0.70372
106,34,20,2,870,0,0.68787
62,44,454,0,824,0,0.170477
62,0,434,0,172,1,0.044261
31,31,137,2,965,0,0.633465
192,161,448,1,188,1,0.476067
29,163,190,0,878,0,0.531421
17,12,189,0,434,0,0.234717
187,170,254,1,59,0,0.593834
111,76,456,1,157,0,0.288654
87,24,372,2,753,1,0.391643
147,60,319,1,823,0,0.412181
76,71,389,2,196,0,0.459587
25,51,438,0,238,1,0.130217
145,120,362,2,331,0,0.581953
35,110,236,0,456,0,0.440176
110,75,155,0,207,1,0.346056
189,79,235,0,871,0,0.378155
187,2,85,0,991,0,0.344605
72,115,305,1,215,1,0.446176
156,84,409,0,248,0,0.207639
122,34,18,0,601,1,0.436332
95,27,437,1,325,1,0.231557
27,68,321,0,569,0,0.263955
75,48,456,1,805,1,0.325284
130,55,355,0,985,1,0.301301
197,67,429,2,131,1,0.408247
0,197,376,0,592,0,0.502593
143,143,183,0,863,0,0.524226
169,26,272,2,530,1,0.505847
190,21,80,2,257,1,0.582958
84,106,419,2,688,1,0.543039
23,61,336,1,129,1,0.319578
54,31,294,1,917,1,0.382174
170,116,326,2,279,0,0.55894
175,5,351,0,50,0,0.126193
127,48,127,0,447,0,0.359519
24,103,308,0,236,0,0.294371
24,0,312,1,401,0,0.285102
95,71,346,0,290,1,0.212213
117,22,499,1,757,1,0.219966
6,111,171,1,26,0,0.52929
137,131,88,2,356,1,0.755839
108,29,496,0,175,1,0.080256
2,106,192,1,503,0,0.501115
19,17,145,1,114,0,0.416944
90,71,198,2,943,0,0.640334
144,54,395,1,589,0,0.326038
165,21,110,0,251,0,0.309044
86,79,14,0,693,0,0.463574
59,27,395,2,938,1,0.421092
193,134,259,0,159,1,0.417385
91,102,355,0,990,0,0.391043
63,28,136,0,977,1,0.367364
88,25,112,1,808,0,0.490609
2,86,233,1,941,1,0.502369
60,58,429,0,793,1,0.183962
103,43,369,1,942,1,0.373239
183,80,215,1,66,1,0.468251
147,36,86,0,33,1,0.304375
156,9,277,2,512,0,0.445416
108,48,32,0,950,0,0.488437
22,86,344,1,346,1,0.416711
78,56,219,1,375,1,0.418567
199,121,437,2,415,0,0.563706
8,191,484,0,581,0,0.381768
175,167,117,2,142,0,0.798674
136,39,62,1,210,0,0.462584
56,80,298,1,107,0,0.393809
155,99,29,2,175,0,0.710479
167,12,337,2,214,0,0.407758
8,159,439,1,255,0,0.465936
21,13,443,2,889,1,0.370929
133,112,384,2,164,0,0.497563
